Institution,Program,Level,Accredited
6526.,Micro-credential in Managerial Accounting,Diploma in Business Management,MQA/FA1035
6527.,Micro-credential in Operation Management,Diploma in Business Management,MQA/FA1035
6528.,Micro-credential in Human Resource Management,Diploma in Business Management,MQA/FA1035
6529.,Micro-credential in Macro Economics,Diploma in Business Management,MQA/FA1035
6530.,Micro-credential in Principles of Marketing,Diploma in Business Management,MQA/FA1035
6531.,Micro-credential in Principles of Retailing,Diploma in Business Management,MQA/FA1035
6532.,Micro-credential in Principles of Finance,Diploma in Business Management,MQA/FA1035
6533.,Micro-credential in Entrepreneurship,Diploma in Business Management,MQA/FA1035
6534.,Micro-credential in Business Ethics,Diploma in Business Management,MQA/FA1035
6535.,Micro-credential in International Business,Diploma in Business Management,MQA/FA1035
6536.,Micro-credential in PC Maintenance,Diploma in Business Management,MQA/FA1035
6537.,Micro-credential in Management Information Systems,Diploma in Business Management,MQA/FA1035
6538.,Micro-credential in e-Commerce,Diploma in Business Management,MQA/FA1035
6539.,Micro-credential in Academic Writing,Diploma in Business Management,MQA/FA1035
6540.,Micro-credential in Business Communication,Diploma in Business Management,MQA/FA1035
6541.,Micro-credential in Bahasa Melayu Komunikasi,Diploma in Business Management,MQA/FA1035
6542.,Micro-credential in Pengajian Malaysia,Diploma in Business Management,MQA/FA1035
6543.,Micro-credential in Bahasa Kebangsaan A,Diploma in Business Management,MQA/FA1035
6544.,Micro-credential in Effective Communication,Diploma in Business Management,MQA/FA1035
6545.,Micro-credential in Morals and Ethics,Diploma in Business Management,MQA/FA1035
6546.,Micro-credential in Community Service Project,Diploma in Business Management,MQA/FA1035
6547.,Micro-credential in Information Technologies,Diploma in Business Management,MQA/FA1035
6548.,Micro-credential in Effective Communication,Diploma in Computer Science,MQA/FA1036
6549.,Micro-credential in End User Applications,Diploma in Computer Science,MQA/FA1036
6550.,Micro-credential in Computerised Accounting Practices,Diploma in Computer Science,MQA/FA1036
6551.,Micro-credential in Introduction to Accounting,Diploma in Computer Science,MQA/FA1036
6552.,Micro-credential in Programming I,Diploma in Computer Science,MQA/FA1036
6553.,Micro-credential in Programming II,Diploma in Computer Science,MQA/FA1036
6554.,vMicro-credential in Information Technologies,Diploma in Computer Science,MQA/FA1036
6555.,Micro-credential in Data Structures,Diploma in Computer Science,MQA/FA1036
6556.,Micro-credential in System Analysis and Design,Diploma in Computer Science,MQA/FA1036
6557.,Micro-credential in PC Maintenance,Diploma in Computer Science,MQA/FA1036
6558.,Micro-credential in Visual Programming,Diploma in Computer Science,MQA/FA1036
6559.,Micro-credential in Morals and Ethics,Diploma in Computer Science,MQA/FA1036
6560.,Micro-credential in Community Service Project,Diploma in Computer Science,MQA/FA1036
6561.,Micro-credential in Object Oriented Programming,Diploma in Computer Science,MQA/FA1036
6562.,Micro-credential in Web Programming,Diploma in Computer Science,MQA/FA1036
6563.,Micro-credential in e-Commerce,Diploma in Computer Science,MQA/FA1036
6564.,Micro-credential in Fundamentals of Networking,Diploma in Computer Science,MQA/FA1036
6565.,Micro-credential in Computer Graphics,Diploma in Computer Science,MQA/FA1036
6566.,Micro-credential in Fundamentals of Mobile Programming,Diploma in Computer Science,MQA/FA1036
6567.,Micro-credential in Software Project Management,Diploma in Computer Science,MQA/FA1036
6568.,Micro-credential in Database Management Systems,Diploma in Computer Science,MQA/FA1036
6569.,Micro-credential in Introduction to Software Engineering,Diploma in Computer Science,MQA/FA1036
6570.,Multimedia & Internet Technologies,Diploma in Computer Science,MQA/FA1036
6571.,Introduction to Operating Systems,Diploma in Computer Science,MQA/FA1036
6572.,Micro-credential in Java Programming,Diploma in Computer Science,MQA/FA1036
6573.,Micro-credential in Advanced Web Programming,Diploma in Computer Science,MQA/FA1036
6574.,Micro-credential in Academic Writing,Diploma in Computer Science,MQA/FA1036
6575.,Micro-credential in Business Communication,Diploma in Computer Science,MQA/FA1036
6576.,Micro-credential in Quantitative Methods,Diploma in Computer Science,MQA/FA1036
6577.,Micro-credential in Discrete Mathematics,Diploma in Computer Science,MQA/FA1036
6578.,Micro-credential in Calculus,Diploma in Computer Science,MQA/FA1036
6579.,Bahasa Melayu Komunikasi,Diploma in Computer Science,MQA/FA1036
6580.,Micro-credential in Pengajian Malaysia,Diploma in Computer Science,MQA/FA1036
6581.,Micro-credential in Bahasa Kebangsaan A,Diploma in Computer Science,MQA/FA1036
6582.,Micro-credential in Management Information Systems,Diploma in Computer Science,MQA/FA1036
6583.,Micro-credential in Business Communication,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6584.,Micro-credential in Introduction to Software Engineering,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6585.,Micro-credential in Multimedia & Internet Technologies,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6586.,Micro-credential in Introduction to Operating Systems,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6587.,Micro-credential in Advanced Web Programming,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6588.,Micro-credential in Mobile Pattern Design,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6589.,Micro-credential in Cross Platform for Mobile App Development,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6590.,Micro-credential in Window Mobile App Development,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6591.,Micro-credential in iOS Application Development with Objective C,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6592.,Micro-credential in Quantitative Methods,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6593.,Micro-credential in Discrete Mathematics,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6594.,Micro-credential in Calculus,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6595.,Micro-credential in Bahasa Melayu Komunikasi,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6596.,Micro-credential in Pengajian Malaysia,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6597.,Micro-credential in Bahasa Kebangsaan A,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6598.,Micro-credential in Effective Communication,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6599.,Micro-credential in Morals and Ethics,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6600.,Micro-credential in Community Service Project,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6601.,Micro-credential in Computer Programming,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6602.,Micro-credential in Information Technologies,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6603.,Micro-credential in Data Structures,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6604.,Micro-credential in System Analysis and Design,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6605.,Micro-credential in PC Maintenance,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6606.,Micro-credential in Management Information Systems,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6607.,Micro-credential in Object Oriented Programming,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6608.,Micro-credential in Web Programming,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6609.,Micro-credential in e-Commerce,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6610.,Micro-credential in Fundamentals of Networking,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6611.,Micro-credential in Computer Graphics,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6612.,Micro-credential in Fundamentals of Mobile Programming,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6613.,Micro-credential in Software Project Management,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6614.,Micro-credential in Database Management Systems,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6615.,Micro-credential in Java Programming,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6616.,Micro-credential in Entrepreneurship,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6617.,Micro-credential in Academic Writing,Diploma in Computer Science (Mobile Computing),MQA/FA5150
6618.,Micro-credential in Effective Communication,Diploma in Business Information Systems,MQA/FA5151
6619.,Micro-credential in Morals and Ethics,Diploma in Business Information Systems,MQA/FA5151
6620.,Micro-credential in Principles of Finance,Diploma in Business Information Systems,MQA/FA5151
6621.,Micro-credential in Entrepreneurship,Diploma in Business Information Systems,MQA/FA5151
6622.,Micro-credential in Business Ethics,Diploma in Business Information Systems,MQA/FA5151
6623.,Micro-credential in Programming I,Diploma in Business Information Systems,MQA/FA5151
6624.,Micro-credential in Information Technologies,Diploma in Business Information Systems,MQA/FA5151
6625.,Micro-credential in System Analysis and Design,Diploma in Business Information Systems,MQA/FA5151
6626.,Micro-credential in PC Maintenance,Diploma in Business Information Systems,MQA/FA5151
6627.,Micro-credential in Visual Programming,Diploma in Business Information Systems,MQA/FA5151
6628.,Micro-credential in Management Information Systems,Diploma in Business Information Systems,MQA/FA5151
6629.,Micro-credential in Web Programming,Diploma in Business Information Systems,MQA/FA5151
6630.,Micro-credential in e-Commerce,Diploma in Business Information Systems,MQA/FA5151
6631.,Micro-credential in Fundamentals of Networking,Diploma in Business Information Systems,MQA/FA5151
6632.,Micro-credential in Database Management Systems,Diploma in Business Information Systems,MQA/FA5151
6633.,Micro-credential in Multimedia & Internet Technologies,Diploma in Business Information Systems,MQA/FA5151
6634.,Micro-credential in Academic Writing,Diploma in Business Information Systems,MQA/FA5151
6635.,Micro-credential in Bahasa Melayu Komunikasi,Diploma in Business Information Systems,MQA/FA5151
6636.,Micro-credential in Pengajian Malaysia,Diploma in Business Information Systems,MQA/FA5151
6637.,Micro-credential in Bahasa Kebangsaan A,Diploma in Business Information Systems,MQA/FA5151
6638.,Micro-credential in Principles of Marketing,Diploma in Business Information Systems,MQA/FA5151
6639.,Micro-credential in Introduction to Accounting,Diploma in Business Information Systems,MQA/FA5151
6640.,Micro-credential in Organizational Behavior,Diploma in Business Information Systems,MQA/FA5151
6641.,Micro-credential in Human Resource Management,Diploma in Business Information Systems,MQA/FA5151
6642.,Micro-credential in Community Service Project,Diploma in Business Information Systems,MQA/FA5151
6643.,Micro-credential in End User Applications,Diploma in Business Information Systems,MQA/FA5151
6644.,Micro-credential in Business Statistics,Diploma in Business Information Systems,MQA/FA5151
6645.,Micro-credential in Business Law,Diploma in Business Information Systems,MQA/FA5151
6646.,Micro-credential in Fundamentals of Business Management,Diploma in Business Information Systems,MQA/FA5151
6647.,Micro-credential in Micro Economics,Diploma in Business Information Systems,MQA/FA5151
6648.,Micro-credential in Operation Management,Diploma in Business Information Systems,MQA/FA5151
6649.,Micro-credential in Macro Economics,Diploma in Business Information Systems,MQA/FA5151
6650.,Micro-credential in Pengajian Malaysia,Diploma in Social Work,MQA/PA12040
6651.,Micro-credential in Bahasa Kebangsaan A,Diploma in Social Work,MQA/PA12040
6652.,Micro-credential in Effective Communication,Diploma in Social Work,MQA/PA12040
6653.,Micro-credential in Morals and Ethics,Diploma in Social Work,MQA/PA12040
6654.,Micro-credential in Community Service Project,Diploma in Social Work,MQA/PA12040
6655.,Micro-credential in Introduction to Psychology for Social Workers,Diploma in Social Work,MQA/PA12040
6656.,Micro-credential in Introduction to Sociology for Social Workers,Diploma in Social Work,MQA/PA12040
6657.,Micro-credential in Introduction to Professional Social Work,Diploma in Social Work,MQA/PA12040
6658.,Micro-credential in Social Problems and Social Needs in Malaysia,Diploma in Social Work,MQA/PA12040
6659.,Micro-credential in Social Work Methods I - Casework,Diploma in Social Work,MQA/PA12040
6660.,Micro-credential in Organisational Context of Social Work Practice,Diploma in Social Work,MQA/PA12040
6661.,Micro-credential in Interpersonal and Counselling Skills in Social Work Practice,Diploma in Social Work,MQA/PA12040
6662.,Micro-credential in Field of Practice I – Child and Family Welfare,Diploma in Social Work,MQA/PA12040
6663.,Micro-credential in Drug and Alcohol Addiction,Diploma in Social Work,MQA/PA12040
6664.,Micro-credential in Entrepreneurship,Diploma in Social Work,MQA/PA12040
6665.,Micro-credential in Publicly Accountable Practice,Diploma in Social Work,MQA/PA12040
6666.,Micro-credential in Public Policy and the Law and Social Work Practice,Diploma in Social Work,MQA/PA12040
6667.,Micro-credential in Social Work Methods II – Group Work,Diploma in Social Work,MQA/PA12040
6668.,Micro-credential in Field of Practice II – Health and Mental Health,Diploma in Social Work,MQA/PA12040
6669.,Micro-credential in Social Work Methods III – Community Work,Diploma in Social Work,MQA/PA12040
6670.,Micro-credential in Working with Domestic Violence Concerns,Diploma in Social Work,MQA/PA12040
6671.,Micro-credential in Working with the Aging and Elderly,Diploma in Social Work,MQA/PA12040
6672.,Micro-credential in Working with Minority Populations,Diploma in Social Work,MQA/PA12040
6673.,Micro-credential in Field of Practice III - Working with People with a Disability,Diploma in Social Work,MQA/PA12040
6674.,Micro-credential in Bahasa Melayu Komunikasi,Diploma in Social Work,MQA/PA12040
6675.,"Understanding the World Through Economics Module 1: Markets and Welfare (2 credits, 5 weeks) Module 2: Producer Theory (2 credits, 5 weeks) Module 3: Macroeconomics (2 credits, 5 weeks)",Master of International Business,MQA/SWA0111
6676.,Micro-credential in Customer Services,Sijil Pengurusan Pelancongan,A10702
6677.,Micro-credential in Basic Entrepreneurship,Sijil Pengurusan Pelancongan,A10702
6678.,Micro-credential in Elementary Marketing,Sijil Pengurusan Pelancongan,A10702
6679.,Micro-credential in Ticketing Practices,Sijil Pengurusan Pelancongan,A10702
6680.,Micro-credential in Arabic I,Sijil Pengurusan Pelancongan,A10702
6681.,Micro-credential in English Language Enrichment,Sijil Pengurusan Pelancongan,A10702
6682.,Micro-credential in Introduction to Computer Technology,Sijil Pengurusan Pelancongan,A10702
6683.,Micro-credential in Introduction to Tourism Industry,Sijil Pengurusan Pelancongan,A10702
6684.,Micro-credential in World Tourist Destination,Sijil Pengurusan Pelancongan,A10702
6685.,Micro-credential in Arabic II,Sijil Pengurusan Pelancongan,A10702
6686.,Micro-credential in Basic Business Mathematics,Sijil Pengurusan Pelancongan,A10702
6687.,Micro-credential in Principles of Accounting,Sijil Pengurusan Pelancongan,A10702
6688.,Micro-credential in Introduction to Tour Operation,Sijil Pengurusan Pelancongan,A10702
6689.,Micro-credential in Tour Guiding,Sijil Pengurusan Pelancongan,A10702
6690.,Mikro-kredential Asas Lukisan Kejuruteraan,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6691.,Mikro-kredential Asas Sains Bahan,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6692.,Mikro-kredential Fizik Kejuruteraan,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6693.,Mikro-kredential Asas Sains Elektrik,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6694.,Mikro-kredential Matematik I,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6695.,Mikro-kredential Asas Sistem Komunikasi,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6696.,Mikro-kredential Asas Elektronik Digital,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6697.,Mikro-kredential Pengenalan Kepada Teknologi Komputer,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6698.,Mikro-kredential Asas Pengukuran dan Peralatan,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6699.,Mikro-kredential Asas Lukisan Berkomputer,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6700.,Mikro-kredential Teknologi Elektrik,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6701.,Mikro-kredential Asas Elektronik,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6702.,Micro-credential in English Language Competency,Sijil Kejuruteraan Elektrik & Elektronik,A10703
6703.,Mikro-kredential Matematik Untuk Sains,Sijil Sains Kesihatan,A5799
6704.,Micro-credential in Fizik,Sijil Sains Kesihatan,A5799
6705.,Micro-credential in Kimia I,Sijil Sains Kesihatan,A5799
6706.,Micro-credential in Biologi,Sijil Sains Kesihatan,A5799
6707.,Mikro-kredential Asas Anatomi dan Fisiologi,Sijil Sains Kesihatan,A5799
6708.,Micro-credential in English Language Enrichment,Sijil Sains Kesihatan,A5799
6709.,Mikro-kredential Asas Psikologi,Sijil Sains Kesihatan,A5799
6710.,Micro-credential in Kimia II,Sijil Sains Kesihatan,A5799
6711.,Mikro-kredential Pengenalan Kpd Sains Kesihatan,Sijil Sains Kesihatan,A5799
6712.,Mikro-kredential Pertolongan Cemas,Sijil Sains Kesihatan,A5799
6713.,Mikro-kredential Kemahiran Berfikir,Sijil Sains Kesihatan,A5799
6714.,Mikro-kredential Pengenalan Teknologi Komputer,Sijil Sains Kesihatan,A5799
6715.,Mikro-kredential  Pengurusan dan Pentadbiran Tadika,Sijil Pendidikan Awal Kanak-Kanak,A7058
6716.,Mikro-kredential inPerancangan Program untuk Bayi dan Kanak-Kanak,Sijil Pendidikan Awal Kanak-Kanak,A7058
6717.,"Mikro-kredential  Pengenalan Kepada Kesihatan, Keselamatan dan Pemakanan",Sijil Pendidikan Awal Kanak-Kanak,A7058
6718.,Mikro-kredential  Pengenalan Kepada Pendidikan Awal Kanak-Kanak,Sijil Pendidikan Awal Kanak-Kanak,A7058
6719.,Mikro-kredential  Pembelajaran melalui Permainan,Sijil Pendidikan Awal Kanak-Kanak,A7058
6720.,Mikro-kredential  Pengenalan Kepada Perkembangan Awal Kanak-kanak,Sijil Pendidikan Awal Kanak-Kanak,A7058
6721.,Mikro-kredential  Pengenalan kepada Teknologi Maklumat dalam Pendidikan,Sijil Pendidikan Awal Kanak-Kanak,A7058
6722.,Mikro-kredential  Pengenalan kepada Pengurusan Bilik Kelas,Sijil Pendidikan Awal Kanak-Kanak,A7058
6723.,Mikro-kredential  Permainan Kreatif bersama Kanak-Kanak,Sijil Pendidikan Awal Kanak-Kanak,A7058
6724.,Mikro-kredential  Pemerhatian dan Penilaian Kanak-Kanak,Sijil Pendidikan Awal Kanak-Kanak,A7058
6725.,Mikro-kredential  Pendidikan bagi keperluan Khusus,Sijil Pendidikan Awal Kanak-Kanak,A7058
6726.,Micro-credential in English Language Competency,Sijil Pendidikan Awal Kanak-Kanak,A7058
6727.,Micro-credential in Basic English for Preschool,Sijil Pendidikan Awal Kanak-Kanak,A7058
6728.,Mikro-kredential Pengenalan Kepada Industri Hospitaliti,Sijil Operasi Hotel dan Katering,A7059
6729.,Micro-credential in English Language Enrichment,Sijil Operasi Hotel dan Katering,A7059
6730.,Mikro-kredential  Operasi Kaunter Hadapan,Sijil Operasi Hotel dan Katering,A7059
6731.,Micro-credential in Asian Cuisine,Sijil Operasi Hotel dan Katering,A7059
6732.,Micro-credential in English for the Workplace,Sijil Operasi Hotel dan Katering,A7059
6733.,Mikro-kredential  Operasi Pengemasan,Sijil Operasi Hotel dan Katering,A7059
6734.,Mikro-kredential  Pengurusan Sistem Katering,Sijil Operasi Hotel dan Katering,A7059
6735.,Mikro-kredential  Kemahiran Keusahawanan,Sijil Operasi Hotel dan Katering,A7059
6736.,Mikro-kredential  Pemasaran Hospitaliti,Sijil Operasi Hotel dan Katering,A7059
6737.,Mikro-kredential  Pengurusan Hospitaliti,Sijil Operasi Hotel dan Katering,A7059
6738.,Mikro-kredential  Teori Makanan,Sijil Operasi Hotel dan Katering,A7059
6739.,Micro-credential in Larder & Production,Sijil Operasi Hotel dan Katering,A7059
6740.,Mikro-kredential Operasi Makanan & Minuman,Sijil Operasi Hotel dan Katering,A7059
6741.,Micro-credential in Garde Manger,Sijil Operasi Hotel dan Katering,A7059
6742.,Mikro-kredential Pembelian dan Kawalan Kos,Sijil Operasi Hotel dan Katering,A7059
6743.,Mikro-kredential Keselamatan Makanan & Sanitasi,Sijil Operasi Hotel dan Katering,A7059
6744.,Mikro-kredential Pengantar Kewangan,Sijil Pengurusan Perniagaan,A7918
6745.,Mikro-kredential Asas Pengurusan Perniagaan,Sijil Pengurusan Perniagaan,A7918
6746.,Mikro-kredential Pengenalan Kepada Pengurusan Peruncitan,Sijil Pengurusan Perniagaan,A7918
6747.,Mikro-kredential Pengenalan Kepada Teknologi Komputer,Sijil Pengurusan Perniagaan,A7918
6748.,Micro-credential in English Language Competency,Sijil Pengurusan Perniagaan,A7918
6749.,Mikro-kredential Asas Matematik Perniagaan,Sijil Pengurusan Perniagaan,A7918
6750.,Mikro-kredential Pengantar Pemasaran,Sijil Pengurusan Perniagaan,A7918
6751.,Mikro-kredential Asas E-Dagang,Sijil Pengurusan Perniagaan,A7918
6752.,Mikro-kredential Asas Keusahawanan,Sijil Pengurusan Perniagaan,A7918
6753.,Mikro-kredential Prinsip Perakaunan,Sijil Pengurusan Perniagaan,A7918
6754.,Micro-credential in English for the Workplace,Sijil Pengurusan Perniagaan,A7918
6755.,Mikro-kredential Pengantar Pengurusan Operasi,Sijil Pengurusan Perniagaan,A7918
6756.,Mikro-kredential Pengenalan Kepada Fotografi,Sijil Sains Komputer,A7919
6757.,Mikro-kredential Asas Multimedia,Sijil Sains Komputer,A7919
6758.,Mikro-kredential Prinsip-prinsip Pengaturcaraan,Sijil Sains Komputer,A7919
6759.,Mikro-kredential Pengaturcaraan C,Sijil Sains Komputer,A7919
6760.,Mikro-kredential Asas Pengaturcaraan Internet,Sijil Sains Komputer,A7919
6761.,Mikro-kredential Asas Pengaturcaraan Visual Basic,Sijil Sains Komputer,A7919
6762.,Mikro-kredential Pengenalan Rangkaian Komputer,Sijil Sains Komputer,A7919
6763.,Mikro-kredential Persekitaran PC,Sijil Sains Komputer,A7919
6764.,Mikro-kredential English Language Competency,Sijil Sains Komputer,A7919
6765.,Mikro-kredential Pengenalan kepada Teknologi Komputer,Sijil Sains Komputer,A7919
6766.,Mikro-kredential Pengenalan Kpd Sistem Pengoperasian,Sijil Sains Komputer,A7919
6767.,Mikro-kredentialKemahiran Keusahawanan,Sijil Sains Komputer,A7919
6768.,Mikro-kredential Asas Pangkalan Data,Sijil Sains Komputer,A7919
6769.,Micro-kredential Fotografi Digital,Sijil Fotografi Digital,MQA/FA4146
6770.,Micro-kredential  Asas Seni Visual,Sijil Fotografi Digital,MQA/FA4146
6771.,Micro-kredential  Asas Pencahayaan,Sijil Fotografi Digital,MQA/FA4146
6772.,Micro-kredential Teori Warna,Sijil Fotografi Digital,MQA/FA4146
6773.,Micro-kredential Fotografi Outdoor & Indoor,Sijil Fotografi Digital,MQA/FA4146
6774.,Micro-kredential  Asas Keusahawanan,Sijil Fotografi Digital,MQA/FA4146
6775.,Micro-kredential  Pengenalan Kepada Teknologi Komputer,Sijil Fotografi Digital,MQA/FA4146
6776.,Micro-kredential Visual Kreatif,Sijil Fotografi Digital,MQA/FA4146
6777.,Micro-kredential Pengajian Video,Sijil Fotografi Digital,MQA/FA4146
6778.,Micro-kredential  Imej Digital Lanjutan,Sijil Fotografi Digital,MQA/FA4146
6779.,Micro-kredential Pengenalan Kepada Imej Digital,Sijil Fotografi Digital,MQA/FA4146
6780.,Micro-credential in English Language Competency,Sijil Fotografi Digital,MQA/FA4146
6781.,Micro-kredential Fotografi Lanjutan,Sijil Fotografi Digital,MQA/FA4146
6782.,Micro-credential in Workplace Safety and Maintenance,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6783.,Micro-credential in Introduction to Spa and Beauty Industry,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6784.,Micro-credential in Skin Structure and Growth,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6785.,Micro-credential in Customer Service and Etiquette,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6786.,Micro-credential in Professional Grooming,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6787.,Micro-credential in Body SpaTreatment,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6788.,Micro-credential in English Language Enrichment,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6789.,Micro-credential in Make Up,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6790.,Micro-credential in English Language Competency,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6791.,Micro-credential in Basic Facial Treatment,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6792.,Micro-credential in Manicure and Pedicure,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6793.,Micro-credential in Home Care Recipes for Skin and Hair,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6794.,Micro-credential in Hair and Scalp Treatment,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6795.,Micro-credential in Promotion in Sales and Marketing for Spa Industries,Sijil Perkhidmatan Spa dan Kecantikan,MQA/FA5840
6796.,Mikro-kredential Kuih dan manisan Melayu,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6797.,Mikro-kredential Asas Pembuatan kek,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6798.,Mikro-kredential Pengenalan kepada Pastri dan bakeri,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6799.,Mikro-kredential Kemahiran  Keusahawanan,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6800.,Mikro-kredential  Keselamatan Makanan dan Sanitasi,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6801.,Mikro-kredential  Seni hiasan kek,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6802.,Mikro-kredential  Pembuatan Sos dan Pencuci Mulut,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6803.,Mikro-kredential  Roti dan Yis,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6804.,Mikro-kredential  Asas Konfeksionari,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6805.,Mikro-kredential  Asas Pembuatan Coklat,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6806.,Mikro-kredential  Roti Segera dan Biskut,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6807.,Mikro-kredential Asas Pembuatan pastri,"Sijil  Pastri, Bakeri dan Konfeksionari",MQA/PA8118
6808.,Micro-credential in Principles of Cost Accounting,Diploma in Management,MQA/FA13021
6809.,Micro-credential in Human Resource Management,Diploma in Management,MQA/FA13021
6810.,Micro-credential in Operation Management,Diploma in Management,MQA/FA13021
6811.,Micro-credential in Quality Management,Diploma in Management,MQA/FA13021
6812.,Micro-credential in Statistics For Management,Diploma in Management,MQA/FA13021
6813.,Micro-credential in Principles of Management,Diploma in Management,MQA/FA13021
6814.,Micro-credential in Principles of Microeconomics,Diploma in Management,MQA/FA13021
6815.,Micro-credential in Principles of Macroeconomics,Diploma in Management,MQA/FA13021
6816.,Micro-credential in Principles of Marketing,Diploma in Management,MQA/FA13021
6817.,Micro-credential in Business Communication,Diploma in Management,MQA/FA13021
6818.,Micro-credential in Principles Of Financial Management,Diploma in Management,MQA/FA13021
6819.,Micro-credential in Business Organisations,Diploma in Management,MQA/FA13021
6820.,Micro-credential in Bahasa Kebangsaan A,Diploma in Management,MQA/FA13021
6821.,Micro-credential in Organisational Behaviour,Diploma in Management,MQA/FA13021
6822.,Micro-credential in Principles of Financial Accounting,Diploma in Management,MQA/FA13021
6823.,Micro-credential in Business English,Diploma in Management,MQA/FA13021
6824.,Micro-credential in Negotiation Skills,Diploma in Management,MQA/FA13021
6825.,Micro-credential in Developing Thinking Skills,Diploma in Management,MQA/FA13021
6826.,Micro-credential in Business Law,Diploma in Management,MQA/FA13021
6827.,Micro-credential in Entrepreneurship Skills,Diploma in Management,MQA/FA13021
6828.,Micro-credential in Business Mathematics,Diploma in Management,MQA/FA13021
6829.,Micro-credential in Principles of International Business,Diploma in Management,MQA/FA13021
6830.,Micro-credential in Community Services,Diploma in Management,MQA/FA13021
6831.,Micro-credential in Penghayatan Etika dan Peradaban,Diploma in Management,MQA/FA13021
6832.,Micro-credential in Project Management,Diploma in Management,MQA/FA13021
6833.,Micro-credential in Risk Management,Diploma in Management,MQA/FA13021
6834.,Micro-credential in Business Statistics,Diploma in Accounting,MQA/FA8278
